Pattern,Count,Percentage,Avg_Hour,Peak_Hour,Peak_Day,Weekend_Pct,RushHour_Pct,LateNight_Pct,Top_Crime
0,171865,34.62995426061376,13.99429203153638,12,Friday,0.0,0.0,0.0,THEFT
1,97731,19.692316992081242,14.159765069425259,12,Saturday,100.0,34.270599912003355,0.0,THEFT
2,95226,19.187571782627096,14.072942263667485,17,Wednesday,0.0,100.0,0.0,THEFT
3,57211,11.527735799633279,1.3668874866721434,0,Monday,0.0,0.0,100.0,THEFT
4,41890,8.44062947067239,22.47648603485319,22,Saturday,31.871568393411316,0.0,100.0,BATTERY
5,32367,6.521791694372242,1.5177186640714309,0,Sunday,100.0,0.0,100.0,BATTERY
